2022-06-10 18:08:08.835 [main] INFO  com.project.TicTacToe - Game has started
2022-06-10 18:08:08.841 [main] INFO  com.project.TicTacToe - Value of alpha(initial state) is: 1
2022-06-10 18:08:08.842 [main] INFO  com.project.TicTacToe - Value of beta(event of win) is: 3
2022-06-10 18:08:08.842 [main] INFO  com.project.TicTacToe - Value of gamma(event of loss) is: -1
2022-06-10 18:08:08.842 [main] INFO  com.project.TicTacToe - Value of delta(event of draw) is: 2
2022-06-10 18:08:37.960 [main] INFO  com.project.TicTacToe -  User selected option 1-Training the menace
2022-06-10 18:08:37.961 [main] INFO  com.project.TicTacToe - Player 1 name is:dummy-player
2022-06-10 18:08:37.961 [main] INFO  com.project.TicTacToe - Player 2 name is menace
2022-06-10 18:08:37.961 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:37.961 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:37.961 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:37.962 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:37.962 [main] INFO  com.project.TicTacToe - Dummy player's Turn (x):
2022-06-10 18:08:37.962 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:37.962 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:37.963 [main] INFO  com.project.TicTacToe - - x - 
2022-06-10 18:08:37.964 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:37.964 [main] INFO  com.project.TicTacToe - Computer's Turn (o):
2022-06-10 18:08:37.971 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:37.972 [main] INFO  com.project.TicTacToe - - o - 
2022-06-10 18:08:37.972 [main] INFO  com.project.TicTacToe - - x - 
2022-06-10 18:08:37.972 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:37.972 [main] INFO  com.project.TicTacToe - Dummy player's Turn (x):
2022-06-10 18:08:37.972 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:37.973 [main] INFO  com.project.TicTacToe - - o - 
2022-06-10 18:08:37.973 [main] INFO  com.project.TicTacToe - x x - 
2022-06-10 18:08:37.973 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:37.973 [main] INFO  com.project.TicTacToe - Computer's Turn (o):
2022-06-10 18:08:37.974 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:37.974 [main] INFO  com.project.TicTacToe - - o - 
2022-06-10 18:08:37.974 [main] INFO  com.project.TicTacToe - x x o 
2022-06-10 18:08:37.975 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:37.975 [main] INFO  com.project.TicTacToe - Dummy player's Turn (x):
2022-06-10 18:08:37.975 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:37.975 [main] INFO  com.project.TicTacToe - x o - 
2022-06-10 18:08:37.975 [main] INFO  com.project.TicTacToe - x x o 
2022-06-10 18:08:37.975 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:37.976 [main] INFO  com.project.TicTacToe - Computer's Turn (o):
2022-06-10 18:08:37.976 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:37.976 [main] INFO  com.project.TicTacToe - x o - 
2022-06-10 18:08:37.976 [main] INFO  com.project.TicTacToe - x x o 
2022-06-10 18:08:37.976 [main] INFO  com.project.TicTacToe - o - - 
2022-06-10 18:08:37.976 [main] INFO  com.project.TicTacToe - Dummy player's Turn (x):
2022-06-10 18:08:37.978 [main] INFO  com.project.TicTacToe - dummy-player has won!
2022-06-10 18:08:37.979 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:37.979 [main] INFO  com.project.TicTacToe - x o - 
2022-06-10 18:08:37.979 [main] INFO  com.project.TicTacToe - x x o 
2022-06-10 18:08:37.980 [main] INFO  com.project.TicTacToe - o - x 
2022-06-10 18:08:37.980 [main] INFO  com.project.TicTacToe - Player 1 name is:dummy-player
2022-06-10 18:08:37.980 [main] INFO  com.project.TicTacToe - Player 2 name is menace
2022-06-10 18:08:37.980 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:37.980 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:37.980 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:37.980 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:37.981 [main] INFO  com.project.TicTacToe - Dummy player's Turn (x):
2022-06-10 18:08:37.981 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:37.981 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:37.981 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:37.981 [main] INFO  com.project.TicTacToe - x - - 
2022-06-10 18:08:37.981 [main] INFO  com.project.TicTacToe - Computer's Turn (o):
2022-06-10 18:08:37.982 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:37.982 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:37.982 [main] INFO  com.project.TicTacToe - - o - 
2022-06-10 18:08:37.982 [main] INFO  com.project.TicTacToe - x - - 
2022-06-10 18:08:37.982 [main] INFO  com.project.TicTacToe - Dummy player's Turn (x):
2022-06-10 18:08:37.982 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:37.982 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:37.983 [main] INFO  com.project.TicTacToe - x o - 
2022-06-10 18:08:37.983 [main] INFO  com.project.TicTacToe - x - - 
2022-06-10 18:08:37.983 [main] INFO  com.project.TicTacToe - Computer's Turn (o):
2022-06-10 18:08:37.983 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:37.983 [main] INFO  com.project.TicTacToe - o - - 
2022-06-10 18:08:37.983 [main] INFO  com.project.TicTacToe - x o - 
2022-06-10 18:08:37.983 [main] INFO  com.project.TicTacToe - x - - 
2022-06-10 18:08:37.983 [main] INFO  com.project.TicTacToe - Dummy player's Turn (x):
2022-06-10 18:08:37.984 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:37.984 [main] INFO  com.project.TicTacToe - o - - 
2022-06-10 18:08:37.984 [main] INFO  com.project.TicTacToe - x o - 
2022-06-10 18:08:37.984 [main] INFO  com.project.TicTacToe - x x - 
2022-06-10 18:08:37.984 [main] INFO  com.project.TicTacToe - Computer's Turn (o):
2022-06-10 18:08:37.985 [main] INFO  com.project.TicTacToe - Computer has won!
2022-06-10 18:08:37.985 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:37.985 [main] INFO  com.project.TicTacToe - o - - 
2022-06-10 18:08:37.985 [main] INFO  com.project.TicTacToe - x o - 
2022-06-10 18:08:37.985 [main] INFO  com.project.TicTacToe - x x o 
2022-06-10 18:08:37.985 [main] INFO  com.project.TicTacToe - Player 1 name is:dummy-player
2022-06-10 18:08:37.985 [main] INFO  com.project.TicTacToe - Player 2 name is menace
2022-06-10 18:08:37.986 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:37.986 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:37.986 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:37.986 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:37.986 [main] INFO  com.project.TicTacToe - Dummy player's Turn (x):
2022-06-10 18:08:37.986 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:37.987 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:37.987 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:37.987 [main] INFO  com.project.TicTacToe - - - x 
2022-06-10 18:08:37.987 [main] INFO  com.project.TicTacToe - Computer's Turn (o):
2022-06-10 18:08:37.987 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:37.987 [main] INFO  com.project.TicTacToe - - - o 
2022-06-10 18:08:37.987 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:37.988 [main] INFO  com.project.TicTacToe - - - x 
2022-06-10 18:08:37.988 [main] INFO  com.project.TicTacToe - Dummy player's Turn (x):
2022-06-10 18:08:37.988 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:37.988 [main] INFO  com.project.TicTacToe - - - o 
2022-06-10 18:08:37.988 [main] INFO  com.project.TicTacToe - - x - 
2022-06-10 18:08:37.988 [main] INFO  com.project.TicTacToe - - - x 
2022-06-10 18:08:37.988 [main] INFO  com.project.TicTacToe - Computer's Turn (o):
2022-06-10 18:08:37.989 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:37.989 [main] INFO  com.project.TicTacToe - o - o 
2022-06-10 18:08:37.989 [main] INFO  com.project.TicTacToe - - x - 
2022-06-10 18:08:37.989 [main] INFO  com.project.TicTacToe - - - x 
2022-06-10 18:08:37.990 [main] INFO  com.project.TicTacToe - Dummy player's Turn (x):
2022-06-10 18:08:37.990 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:37.990 [main] INFO  com.project.TicTacToe - o - o 
2022-06-10 18:08:37.991 [main] INFO  com.project.TicTacToe - - x - 
2022-06-10 18:08:37.991 [main] INFO  com.project.TicTacToe - x - x 
2022-06-10 18:08:37.991 [main] INFO  com.project.TicTacToe - Computer's Turn (o):
2022-06-10 18:08:37.991 [main] INFO  com.project.TicTacToe - Computer has won!
2022-06-10 18:08:37.991 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:37.991 [main] INFO  com.project.TicTacToe - o o o 
2022-06-10 18:08:37.991 [main] INFO  com.project.TicTacToe - - x - 
2022-06-10 18:08:37.992 [main] INFO  com.project.TicTacToe - x - x 
2022-06-10 18:08:37.992 [main] INFO  com.project.TicTacToe - Player 1 name is:dummy-player
2022-06-10 18:08:37.992 [main] INFO  com.project.TicTacToe - Player 2 name is menace
2022-06-10 18:08:37.992 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:37.992 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:37.992 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:37.992 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:37.993 [main] INFO  com.project.TicTacToe - Dummy player's Turn (x):
2022-06-10 18:08:37.993 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:37.993 [main] INFO  com.project.TicTacToe - - - x 
2022-06-10 18:08:37.993 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:37.993 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:37.993 [main] INFO  com.project.TicTacToe - Computer's Turn (o):
2022-06-10 18:08:37.993 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:37.993 [main] INFO  com.project.TicTacToe - - - x 
2022-06-10 18:08:37.994 [main] INFO  com.project.TicTacToe - o - - 
2022-06-10 18:08:37.994 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:37.994 [main] INFO  com.project.TicTacToe - Dummy player's Turn (x):
2022-06-10 18:08:37.994 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:37.994 [main] INFO  com.project.TicTacToe - - x x 
2022-06-10 18:08:37.994 [main] INFO  com.project.TicTacToe - o - - 
2022-06-10 18:08:37.994 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:37.994 [main] INFO  com.project.TicTacToe - Computer's Turn (o):
2022-06-10 18:08:37.995 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:37.995 [main] INFO  com.project.TicTacToe - o x x 
2022-06-10 18:08:37.995 [main] INFO  com.project.TicTacToe - o - - 
2022-06-10 18:08:37.995 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:37.995 [main] INFO  com.project.TicTacToe - Dummy player's Turn (x):
2022-06-10 18:08:37.995 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:37.995 [main] INFO  com.project.TicTacToe - o x x 
2022-06-10 18:08:37.996 [main] INFO  com.project.TicTacToe - o - x 
2022-06-10 18:08:37.996 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:37.996 [main] INFO  com.project.TicTacToe - Computer's Turn (o):
2022-06-10 18:08:37.996 [main] INFO  com.project.TicTacToe - Computer has won!
2022-06-10 18:08:37.996 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:37.996 [main] INFO  com.project.TicTacToe - o x x 
2022-06-10 18:08:37.997 [main] INFO  com.project.TicTacToe - o - x 
2022-06-10 18:08:37.997 [main] INFO  com.project.TicTacToe - o - - 
2022-06-10 18:08:37.997 [main] INFO  com.project.TicTacToe - Player 1 name is:dummy-player
2022-06-10 18:08:37.997 [main] INFO  com.project.TicTacToe - Player 2 name is menace
2022-06-10 18:08:37.997 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:37.997 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:37.997 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:37.998 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:37.998 [main] INFO  com.project.TicTacToe - Dummy player's Turn (x):
2022-06-10 18:08:37.998 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:37.998 [main] INFO  com.project.TicTacToe - - - x 
2022-06-10 18:08:37.999 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:37.999 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:37.999 [main] INFO  com.project.TicTacToe - Computer's Turn (o):
2022-06-10 18:08:37.999 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:37.999 [main] INFO  com.project.TicTacToe - - - x 
2022-06-10 18:08:38.000 [main] INFO  com.project.TicTacToe - - o - 
2022-06-10 18:08:38.000 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:38.000 [main] INFO  com.project.TicTacToe - Dummy player's Turn (x):
2022-06-10 18:08:38.000 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:38.000 [main] INFO  com.project.TicTacToe - - - x 
2022-06-10 18:08:38.000 [main] INFO  com.project.TicTacToe - - o - 
2022-06-10 18:08:38.000 [main] INFO  com.project.TicTacToe - x - - 
2022-06-10 18:08:38.000 [main] INFO  com.project.TicTacToe - Computer's Turn (o):
2022-06-10 18:08:38.001 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:38.001 [main] INFO  com.project.TicTacToe - - - x 
2022-06-10 18:08:38.001 [main] INFO  com.project.TicTacToe - - o - 
2022-06-10 18:08:38.001 [main] INFO  com.project.TicTacToe - x o - 
2022-06-10 18:08:38.001 [main] INFO  com.project.TicTacToe - Dummy player's Turn (x):
2022-06-10 18:08:38.001 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:38.001 [main] INFO  com.project.TicTacToe - x - x 
2022-06-10 18:08:38.001 [main] INFO  com.project.TicTacToe - - o - 
2022-06-10 18:08:38.002 [main] INFO  com.project.TicTacToe - x o - 
2022-06-10 18:08:38.002 [main] INFO  com.project.TicTacToe - Computer's Turn (o):
2022-06-10 18:08:38.002 [main] INFO  com.project.TicTacToe - Computer has won!
2022-06-10 18:08:38.002 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:38.002 [main] INFO  com.project.TicTacToe - x o x 
2022-06-10 18:08:38.002 [main] INFO  com.project.TicTacToe - - o - 
2022-06-10 18:08:38.002 [main] INFO  com.project.TicTacToe - x o - 
2022-06-10 18:08:38.002 [main] INFO  com.project.TicTacToe - Player 1 name is:dummy-player
2022-06-10 18:08:38.002 [main] INFO  com.project.TicTacToe - Player 2 name is menace
2022-06-10 18:08:38.003 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:38.003 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:38.003 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:38.003 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:38.003 [main] INFO  com.project.TicTacToe - Dummy player's Turn (x):
2022-06-10 18:08:38.003 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:38.003 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:38.003 [main] INFO  com.project.TicTacToe - - x - 
2022-06-10 18:08:38.003 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:38.003 [main] INFO  com.project.TicTacToe - Computer's Turn (o):
2022-06-10 18:08:38.004 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:38.004 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:38.004 [main] INFO  com.project.TicTacToe - - x - 
2022-06-10 18:08:38.004 [main] INFO  com.project.TicTacToe - - o - 
2022-06-10 18:08:38.004 [main] INFO  com.project.TicTacToe - Dummy player's Turn (x):
2022-06-10 18:08:38.004 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:38.004 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:38.004 [main] INFO  com.project.TicTacToe - x x - 
2022-06-10 18:08:38.005 [main] INFO  com.project.TicTacToe - - o - 
2022-06-10 18:08:38.005 [main] INFO  com.project.TicTacToe - Computer's Turn (o):
2022-06-10 18:08:38.005 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:38.005 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:38.005 [main] INFO  com.project.TicTacToe - x x o 
2022-06-10 18:08:38.005 [main] INFO  com.project.TicTacToe - - o - 
2022-06-10 18:08:38.005 [main] INFO  com.project.TicTacToe - Dummy player's Turn (x):
2022-06-10 18:08:38.006 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:38.006 [main] INFO  com.project.TicTacToe - - x - 
2022-06-10 18:08:38.006 [main] INFO  com.project.TicTacToe - x x o 
2022-06-10 18:08:38.006 [main] INFO  com.project.TicTacToe - - o - 
2022-06-10 18:08:38.006 [main] INFO  com.project.TicTacToe - Computer's Turn (o):
2022-06-10 18:08:38.007 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:38.007 [main] INFO  com.project.TicTacToe - o x - 
2022-06-10 18:08:38.007 [main] INFO  com.project.TicTacToe - x x o 
2022-06-10 18:08:38.007 [main] INFO  com.project.TicTacToe - - o - 
2022-06-10 18:08:38.007 [main] INFO  com.project.TicTacToe - Dummy player's Turn (x):
2022-06-10 18:08:38.007 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:38.007 [main] INFO  com.project.TicTacToe - o x x 
2022-06-10 18:08:38.007 [main] INFO  com.project.TicTacToe - x x o 
2022-06-10 18:08:38.008 [main] INFO  com.project.TicTacToe - - o - 
2022-06-10 18:08:38.008 [main] INFO  com.project.TicTacToe - Computer's Turn (o):
2022-06-10 18:08:38.008 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:38.008 [main] INFO  com.project.TicTacToe - o x x 
2022-06-10 18:08:38.008 [main] INFO  com.project.TicTacToe - x x o 
2022-06-10 18:08:38.008 [main] INFO  com.project.TicTacToe - o o - 
2022-06-10 18:08:38.008 [main] INFO  com.project.TicTacToe - Dummy player's Turn (x):
2022-06-10 18:08:38.009 [main] INFO  com.project.TicTacToe - It's a tie!
2022-06-10 18:08:38.009 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:38.009 [main] INFO  com.project.TicTacToe - o x x 
2022-06-10 18:08:38.009 [main] INFO  com.project.TicTacToe - x x o 
2022-06-10 18:08:38.009 [main] INFO  com.project.TicTacToe - o o x 
2022-06-10 18:08:38.009 [main] INFO  com.project.TicTacToe - Player 1 name is:dummy-player
2022-06-10 18:08:38.009 [main] INFO  com.project.TicTacToe - Player 2 name is menace
2022-06-10 18:08:38.009 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:38.010 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:38.010 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:38.010 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:38.010 [main] INFO  com.project.TicTacToe - Dummy player's Turn (x):
2022-06-10 18:08:38.010 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:38.011 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:38.011 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:38.011 [main] INFO  com.project.TicTacToe - - x - 
2022-06-10 18:08:38.011 [main] INFO  com.project.TicTacToe - Computer's Turn (o):
2022-06-10 18:08:38.011 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:38.011 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:38.011 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:38.011 [main] INFO  com.project.TicTacToe - o x - 
2022-06-10 18:08:38.011 [main] INFO  com.project.TicTacToe - Dummy player's Turn (x):
2022-06-10 18:08:38.012 [main] INFO  com.project.TicTacToe - Board:
